NrRegisto,DataRegisto,NomeAlojamento,Modalidade,NrCamas,NrUtentes,MoradaFornecida,CodPostal,Freguesia,RuaPadronizada,RuaMatch,LimpezaDados,Ano,Mes,NrPredio,Endereco,Latitude,Longitude
45259/AL,2017-05-15,Atalaia Guesthouse,Estabelecimento de hospedagem,4.0,5,"Rua Atalaia, 58",1200-042,Misericórdia,rua atalaia,rua da atalaia,done,2017,5,58.0,"rua da atalaia, 58",38.7120229,-9.1448455
45262/AL,2017-05-15,PR3,Apartamento,2.0,4,"Travessa São José, 3",1200-415,Misericórdia,travessa são josé,travessa de são josé,done,2017,5,3.0,"travessa de são josé, 3",38.7140304,-9.1515636
45269/AL,2017-05-15,Star Hostel,Estabelecimento de hospedagem-Hostel,21.0,24,"Rua Azedo Gneco, 56",1350-037,Campo de Ourique,rua azedo gneco,rua azedo gneco,done,2017,5,56.0,"rua azedo gneco, 56",38.7176797,-9.1682026
45271/AL,2017-05-15,THE MEZANINE FLAT,Apartamento,3.0,5,"Rua Domingos Tendeiro, 18",1400-131,Belém,rua domingos tendeiro,rua de domingos tendeiro,done,2017,5,18.0,"rua de domingos tendeiro, 18",38.7025722,-9.2037677
45277/AL,2017-05-15,Lisbon Graça - Familly Space For Passion Traveller,Apartamento,2.0,4,"Rua Angelina Vidal, 43",1170-017,São Vicente,rua angelina vidal,rua angelina vidal,manual,2017,5,43.0,"rua angelina vidal, 43",38.72253389999999,-9.1312577
45286/AL,2017-05-16,São Lourenço,Apartamento,3.0,4,"Calçada São Lourenço, 20",1100-529,Santa Maria Maior,calçada são lourenço,calçadinha de são lourenço,manual,2017,5,20.0,"calçadinha de são lourenço, 20",38.7143963,-9.1356924
45292/AL,2017-05-16,Mouraria Deluxe,Apartamento,1.0,2,"Rua São Pedro Mártir, 81",1100-556,Santa Maria Maior,rua são pedro mártir,rua de são pedro mártir,done,2017,5,81.0,"rua de são pedro mártir, 81",38.7151202,-9.135652000000002
45296/AL,2017-05-16,House Amália Rodrigues,Apartamento,2.0,4,"Beco Canas, 5",1100-110,Santa Maria Maior,beco canas,beco das canas,done,2017,5,5.0,"beco das canas, 5",38.7111836,-9.1302055
4530/AL,2015-01-20,Costa do Castelo III,Apartamento,1.0,3,"Via Costa do Castelo, 48",1100-179,Santa Maria Maior,via costa do castelo,costa do castelo,done,2015,1,48.0,"costa do castelo, 48",38.7131396,-9.1346397
45300/AL,2017-05-16,House Lisbon Apartment Alfama,Apartamento,3.0,6,"Beco Canas, 5",1100-110,Santa Maria Maior,beco canas,beco das canas,done,2017,5,5.0,"beco das canas, 5",38.7111836,-9.1302055
45316/AL,2017-05-16,Breathe Lisboa,Estabelecimento de hospedagem,7.0,14,"Rua Quirino da Fonseca, 6",1000-252,Arroios,rua quirino da fonseca,rua quirino da fonseca,done,2017,5,6.0,"rua quirino da fonseca, 6",38.73499020000001,-9.1346272
4532/AL,2013-06-06,Emenda Erasmus,Estabelecimento de hospedagem,14.0,14,"Rua Emenda, 77",1200-169,Misericórdia,rua emenda,rua da emenda,done,2013,6,77.0,"rua da emenda, 77",38.7098845,-9.144542
45326/AL,2011-01-19,Casa de Hospedes Modelo,Estabelecimento de hospedagem,30.0,40,"Rua Portas de Santo Antão, 12",1150-268,Santa Maria Maior,rua portas de santo antão,rua das portas de santo antão,done,2011,1,12.0,"rua das portas de santo antão, 12",38.7153784,-9.1396267
45342/AL,2014-09-18,Ey lisbon,Estabelecimento de hospedagem-Hostel,4.0,36,"Avenida Duque Loulé, 95",1050-089,Santo António,avenida duque loulé,avenida duque de loulé,done,2014,9,95.0,"avenida duque de loulé, 95",38.7260692,-9.1475541
45346/AL,2017-05-16,Galé Apt,Apartamento,4.0,5,"Rua Galés, 17",1990-612,Parque das Nações,rua galés,rua das galés,done,2017,5,17.0,"rua das galés, 17",38.7757706,-9.0962204
45357/AL,2017-05-16,Graça Charm,Apartamento,4.0,6,"Largo Graça, 114",1199-008,São Vicente,largo graça,largo da graça,done,2017,5,114.0,"largo da graça, 114",38.7178795,-9.1300742
45358/AL,2017-05-16,"Atalaia, 68,3º",Apartamento,2.0,4,"Rua Atalaia, 68",1200-042,Misericórdia,rua atalaia,rua da atalaia,done,2017,5,68.0,"rua da atalaia, 68",38.7121253,-9.1448887
45364/AL,2017-05-16,Amendoeiras,Apartamento,2.0,2,"Rua Amendoeira, 34",1100-025,Santa Maria Maior,rua amendoeira,rua da amendoeira,done,2017,5,34.0,"rua da amendoeira, 34",38.7156363,-9.1327337
4538/AL,2013-01-07,Stadter Martin Andreas,Apartamento,7.0,8,"Rua Douradores, 107",1100-203,Santa Maria Maior,rua douradores,rua dos douradores,done,2013,1,107.0,"rua dos douradores, 107",38.712059,-9.1370089
45383/AL,2017-05-16,Near By Palace,Apartamento,7.0,7,"Rua Comandante Freitas da Silva, 7",1300-137,Ajuda,rua comandante freitas da silva,rua comandante freitas da silva,done,2017,5,7.0,"rua comandante freitas da silva, 7",38.7045172,-9.1971262
45386/AL,2017-05-16,Pensão do Duque da Terceira,Estabelecimento de hospedagem,5.0,9,"Praça Duque Terceira, 11",1200-161,Misericórdia,praça duque terceira,praça do duque da terceira,done,2017,5,11.0,"praça do duque da terceira, 11",38.7068699,-9.143683
45395/AL,2014-11-21,Apartamento Monte,Apartamento,3.0,4,"Calçada Monte, 31",1170-250,São Vicente,calçada monte,calçada do monte,done,2014,11,31.0,"calçada do monte, 31",38.7185221,-9.1319518
45406/AL,2017-05-16,Luxbon Almirante Terrace II,Apartamento,1.0,4,"Avenida Almirante Reis, 123",1150-015,Arroios,avenida almirante reis,avenida almirante reis,done,2017,5,123.0,"avenida almirante reis, 123",38.7315988,-9.1346352
45416/AL,2017-05-16,Spinning Wheel 1,Estabelecimento de hospedagem,6.0,10,"Travessa Hera, 4",1200-218,Misericórdia,travessa hera,travessa da hera,done,2017,5,4.0,"travessa da hera, 4",38.710846,-9.1477241
45419/AL,2014-06-08,Coração Mouraria,Apartamento,1.0,2,Beco 3,1100-610,Santa Maria Maior,beco,beco dos três engenhos,manual,2014,6,3.0,"beco dos três engenhos, 3",38.7157692,-9.1337181
45421/AL,2017-05-16,CASAS DE SÃO BENTO,Apartamento,6.0,12,"Rua Correia Garção, 9",1200-640,Misericórdia,rua correia garção,rua correia garção,done,2017,5,9.0,"rua correia garção, 9",38.71189740000001,-9.1531339
45422/AL,2017-05-16,Spinning Wheel Party Hostel,Estabelecimento de hospedagem-Hostel,3.0,29,"Travessa Hera, 4",1200-218,Misericórdia,travessa hera,travessa da hera,done,2017,5,4.0,"travessa da hera, 4",38.710846,-9.1477241
45447/AL,2017-05-16,Happy Reception Bica,Estabelecimento de hospedagem,3.0,6,"Rua João Brás, 14",1200-233,Misericórdia,rua joão brás,rua de joão brás,manual,2017,5,14.0,"rua de joão brás, 14",38.7104761,-9.149960300000002
45457/AL,2017-05-16,PRIME LISBON APARTMENTS,Apartamento,3.0,6,"Rua Boavista, 38",1200-068,Misericórdia,rua boavista,rua da boavista,done,2017,5,38.0,"rua da boavista, 38",38.7088065,-9.1482576
45458/AL,2017-05-16,Pampulha 26 Studio,Apartamento,1.0,2,"Calçada Pampulha, 26",1200-753,Estrela,calçada pampulha,calçada da pampulha,done,2017,5,26.0,"calçada da pampulha, 26",38.7046894,-9.1681801
45466/AL,2017-05-16,BAIRRO ALTO DUPLEX,Apartamento,2.0,4,"Rua São Boaventura, 65-67",1200-408,Misericórdia,rua são boaventura,rua de são boaventura,done,2017,5,67.0,"rua de são boaventura, 67",38.7144257,-9.1462336
45468/AL,2017-05-16,TYPICAL BELÉM,Apartamento,2.0,4,"Rua Giestal, 2",1300-276,Alcântara,rua giestal,rua do giestal,done,2017,5,2.0,"rua do giestal, 2",38.70018839999999,-9.1903711
4547/AL,2013-07-02,D. Carlos 1,Apartamento,4.0,6,"Avenida D. Carlos I, 90",1200-650,Misericórdia,avenida d. carlos i,avenida dom carlos i,done,2013,7,90.0,"avenida dom carlos i, 90",38.708853,-9.1528653
45470/AL,2017-05-16,MODERN AND BRIGHT AVENIDAS NOVAS,Apartamento,4.0,6,"Rua Adriano Correia de Oliveira, 6",1600-312,Avenidas Novas,rua adriano correia de oliveira,rua adriano correia de oliveira,done,2017,5,6.0,"rua adriano correia de oliveira, 6",38.7472553,-9.1525674
45471/AL,2017-05-16,SANTA MARTA VINTAGE DESIGN I,Apartamento,1.0,2,"Rua Cardal A São José, 26",1150-090,Santo António,rua cardal a são josé,rua de são josé,done,2017,5,26.0,"rua de são josé, 26",38.7205705,-9.1439035
45472/AL,2017-05-16,I loft Lisbon,Apartamento,3.0,4,"Rua Nova do Loureiro, 38",1200-295,Misericórdia,rua nova do loureiro,rua nova do loureiro,done,2017,5,38.0,"rua nova do loureiro, 38",38.713167,-9.146791
45473/AL,2017-05-16,SANTA MARTA VINTAGE DESIGN II,Apartamento,1.0,2,"Rua Cardal A São José, 26",1150-090,Santo António,rua cardal a são josé,rua de são josé,done,2017,5,26.0,"rua de são josé, 26",38.7205705,-9.1439035
45477/AL,2017-05-16,Tilty Estrela,Apartamento,6.0,7,"Calçada Estrela, 183",1200-662,Estrela,calçada estrela,calçada da estrela,done,2017,5,183.0,"calçada da estrela, 183",38.7128258,-9.1582279
45483/AL,2017-05-16,Home in Belém! - 2 bedroom charming apt,Apartamento,3.0,4,"Travessa Santo António, 11",1300-518,Belém,travessa santo antónio,travessa de santo antónio a belém,done,2017,5,11.0,"travessa de santo antónio a belém, 11",38.7043533,-9.203565
45492/AL,2017-05-17,Magnolia House,Apartamento,4.0,4,"Rua Alto do Duque, 55",1400-009,Belém,rua alto do duque,rua do alto do duque,done,2017,5,55.0,"rua do alto do duque, 55",38.7008849,-9.223444
45507/AL,2017-05-17,Charmy Apartment at Rua Augusta,Apartamento,4.0,6,"Rua Augusta, 166",1100-055,Santa Maria Maior,rua augusta,rua augusta,done,2017,5,166.0,"rua augusta, 166",38.7111621,-9.1377587
45512/AL,2014-08-04,Graça House,Apartamento,2.0,4,"Rua Angelina Vidal, 33",1170-017,São Vicente,rua angelina vidal,rua angelina vidal,manual,2014,8,33.0,"rua angelina vidal, 33",38.7219867,-9.1309032
45515/AL,2017-05-17,Apartment Lisbon Near Expo,Apartamento,2.0,4,"Avenida Infante Dom Henrique, 333",1800-257,Olivais,avenida infante dom henrique,avenida infante dom henrique,done,2017,5,333.0,"avenida infante dom henrique, 333",38.7636472,-9.1041714
45516/AL,2017-05-17,Stars,Apartamento,1.0,2,"Rua Maria da Fonte, 3",1170-219,Arroios,rua maria da fonte,rua maria da fonte,done,2017,5,3.0,"rua maria da fonte, 3",38.7218094,-9.133004
