NrRegisto,DataRegisto,NomeAlojamento,Modalidade,NrCamas,NrUtentes,MoradaFornecida,CodPostal,Freguesia,RuaPadronizada,RuaMatch,LimpezaDados,Ano,Mes,NrPredio,Endereco,Latitude,Longitude
24043/AL,2016-01-29,Estefania Apartments,Apartamento,3.0,6,"Rua General Farinha Beirão, 25",1150-171,Arroios,rua general farinha beirão,rua general farinha beirão,done,2016,1,25.0,"rua general farinha beirão, 25",38.7280819,-9.141323
24048/AL,2016-01-29,Estefania Apartments,Apartamento,3.0,6,"Rua General Farinha Beirão, 25",1150-171,Arroios,rua general farinha beirão,rua general farinha beirão,done,2016,1,25.0,"rua general farinha beirão, 25",38.7280819,-9.141323
24050/AL,2016-01-29,Estefania Apartments,Apartamento,3.0,6,"Rua General Farinha Beirão, 25",1150-171,Arroios,rua general farinha beirão,rua general farinha beirão,done,2016,1,25.0,"rua general farinha beirão, 25",38.7280819,-9.141323
24055/AL,2016-01-29,BOA MEMÓRIA,Apartamento,2.0,4,"Travessa Memória, 51",1300-402,Ajuda,travessa memória,travessa da memória,done,2016,1,51.0,"travessa da memória, 51",38.702044,-9.202113
24063/AL,2016-02-01,Barroso 16,Apartamento,4.0,6,"Rua Almirante Barroso, 16",1000-012,Arroios,rua almirante barroso,rua almirante barroso,done,2016,2,16.0,"rua almirante barroso, 16",38.7316061,-9.1420714
24065/AL,2016-02-01,Lisbon Trindade Apartments,Apartamento,4.0,4,"Largo Trindade Coelho, 6",1200-470,Santa Maria Maior,largo trindade coelho,largo trindade coelho,done,2016,2,6.0,"largo trindade coelho, 6",38.7129334,-9.1430446
24066/AL,2016-02-01,Lisbon Trindade Apartments,Apartamento,4.0,4,"Largo Trindade Coelho, 6",1200-470,Santa Maria Maior,largo trindade coelho,largo trindade coelho,done,2016,2,6.0,"largo trindade coelho, 6",38.7129334,-9.1430446
24067/AL,2016-02-01,Alfama-Fado Museum 3,Apartamento,3.0,6,"Beco Loureiro, 25",1100-313,Santa Maria Maior,beco loureiro,beco do loureiro,done,2016,2,25.0,"beco do loureiro, 25",38.7111305,-9.1276072
24073/AL,2013-10-21,Lisbon Colours Apartments,Estabelecimento de hospedagem,1.0,2,"Travessa Queimada, 44",1200-365,Misericórdia,travessa queimada,travessa da queimada,done,2013,10,44.0,"travessa da queimada, 44",38.7129078,-9.1447288
24074/AL,2013-08-13,Tagus Palace,Estabelecimento de hospedagem,17.0,20,"Rua Alexandre Herculano, 6",1150-006,Santo António,rua alexandre herculano,rua alexandre herculano,done,2013,8,6.0,"rua alexandre herculano, 6",38.7241435,-9.1472137
24076/AL,2013-10-21,Lisbon Colours Apartments,Estabelecimento de hospedagem,1.0,2,"Travessa Queimada, 44",1200-365,Misericórdia,travessa queimada,travessa da queimada,done,2013,10,44.0,"travessa da queimada, 44",38.7129078,-9.1447288
24077/AL,2012-09-27,Monte Belvedere,Estabelecimento de hospedagem,5.0,9,"Rua Santa Catarina, 17",1200-401,Misericórdia,rua santa catarina,rua de santa catarina,done,2012,9,17.0,"rua de santa catarina, 17",38.7097222,-9.1481556
24081/AL,2016-02-01,Estrela 27,Apartamento,1.0,4,"Rua Domingos Sequeira, 27",1350-119,Estrela,rua domingos sequeira,rua domingos sequeira,done,2016,2,27.0,"rua domingos sequeira, 27",38.714898,-9.1630574
24083/AL,2016-02-01,Lisbon Trindade Apartments,Apartamento,4.0,2,"Largo Trindade Coelho, 6",1200-470,Santa Maria Maior,largo trindade coelho,largo trindade coelho,done,2016,2,6.0,"largo trindade coelho, 6",38.7129334,-9.1430446
24086/AL,2016-02-01,Visconde de Valmor,Apartamento,2.0,3,"Avenida Visconde Valmor, 65",1050-239,Avenidas Novas,avenida visconde valmor,avenida visconde de valmor,done,2016,2,65.0,"avenida visconde de valmor, 65",38.7375248,-9.1501385
24087/AL,2016-02-01,Lisbon Trindade Apartments,Apartamento,6.0,6,"Largo Trindade Coelho, 6",1200-470,Santa Maria Maior,largo trindade coelho,largo trindade coelho,done,2016,2,6.0,"largo trindade coelho, 6",38.7129334,-9.1430446
24088/AL,2016-02-01,Lisbon Trindade Apartments,Apartamento,6.0,3,"Largo Trindade Coelho, 6",1200-470,Santa Maria Maior,largo trindade coelho,largo trindade coelho,done,2016,2,6.0,"largo trindade coelho, 6",38.7129334,-9.1430446
24090/AL,2016-02-01,Apartamentos Luz de Lisboa,Apartamento,2.0,3,"Rua Bica Duarte Belo, 11",1200-054,Misericórdia,rua bica duarte belo,rua da bica duarte belo,done,2016,2,11.0,"rua da bica duarte belo, 11",38.7095978,-9.1463709
24092/AL,2016-02-01,Casa do Castelo 1 E,Apartamento,2.0,4,"Beco Recolhimento, 3",1100-427,Santa Maria Maior,beco recolhimento,beco do recolhimento,done,2016,2,3.0,"beco do recolhimento, 3",38.7127689,-9.1323108
24093/AL,2016-02-01,Casa do Castelo 2 E,Apartamento,2.0,4,"Beco Recolhimento, 3",1100-427,Santa Maria Maior,beco recolhimento,beco do recolhimento,done,2016,2,3.0,"beco do recolhimento, 3",38.7127689,-9.1323108
24094/AL,2012-11-13,Lisbon Rooftops Guest House,Apartamento,11.0,13,"Calçada Nova do Colégio, 21",1150-238,Arroios,calçada nova do colégio,calçada nova do colégio,done,2012,11,21.0,"calçada nova do colégio, 21",38.7163105,-9.1379169
24095/AL,2016-02-01,Casa do Castelo 3 E,Apartamento,2.0,4,"Beco Recolhimento, 3",1100-427,Santa Maria Maior,beco recolhimento,beco do recolhimento,done,2016,2,3.0,"beco do recolhimento, 3",38.7127689,-9.1323108
24096/AL,2016-02-01,Lisbon Trindade Apartments,Apartamento,6.0,6,"Largo Trindade Coelho, 6",1200-470,Santa Maria Maior,largo trindade coelho,largo trindade coelho,done,2016,2,6.0,"largo trindade coelho, 6",38.7129334,-9.1430446
24098/AL,2014-02-11,Bairro Alto Charming 1 Bd Apartment,Apartamento,2.0,3,"Rua São Boaventura, 65",1200-408,Misericórdia,rua são boaventura,rua de são boaventura,done,2014,2,65.0,"rua de são boaventura, 65",38.7144171,-9.1462336
24101/AL,2016-02-01,Casa do Castelo R1,Apartamento,2.0,4,"Beco Recolhimento, 1",1100-427,Santa Maria Maior,beco recolhimento,beco do recolhimento,done,2016,2,1.0,"beco do recolhimento, 1",38.7127393,-9.1323653
24103/AL,2013-10-21,Lisbon Colours Apartments,Estabelecimento de hospedagem,2.0,4,"Travessa Queimada, 44",1200-365,Misericórdia,travessa queimada,travessa da queimada,done,2013,10,44.0,"travessa da queimada, 44",38.7129078,-9.1447288
24105/AL,2016-02-01,Lata de Sardinha,Apartamento,1.0,2,"Beco Forno da Galé, 4",1100-253,Santa Maria Maior,beco forno da galé,beco do forno da galé,done,2016,2,4.0,"beco do forno da galé, 4",38.71072789999999,-9.1297008
24106/AL,2013-10-21,Lisbon Colours Apartments,Estabelecimento de hospedagem,2.0,4,"Travessa Queimada, 44",1200-365,Misericórdia,travessa queimada,travessa da queimada,done,2013,10,44.0,"travessa da queimada, 44",38.7129078,-9.1447288
24107/AL,2013-10-21,Lisbon Colours Apartments,Apartamento,2.0,4,"Travessa Queimada, 44",1200-365,Misericórdia,travessa queimada,travessa da queimada,done,2013,10,44.0,"travessa da queimada, 44",38.7129078,-9.1447288
24109/AL,2013-10-21,Lisbon Colours Apartments,Apartamento,2.0,4,"Travessa Queimada, 44",1200-365,Misericórdia,travessa queimada,travessa da queimada,done,2013,10,44.0,"travessa da queimada, 44",38.7129078,-9.1447288
24112/AL,2013-10-21,Lisbon Colours Apartments,Apartamento,1.0,2,"Travessa Queimada, 44",1200-365,Misericórdia,travessa queimada,travessa da queimada,done,2013,10,44.0,"travessa da queimada, 44",38.7129078,-9.1447288
24123/AL,2016-02-01,MARINA VIEIRA VILAS BOAS,Apartamento,4.0,6,"Rua São Pedro Mártir, 49",1100-555,Santa Maria Maior,rua são pedro mártir,rua de são pedro mártir,done,2016,2,49.0,"rua de são pedro mártir, 49",38.7147725,-9.135868
24129/AL,2014-11-17,"Ensaio Turquesa Unipeasoal, lda",Apartamento,3.0,4,"Travessa Cara, 27",1200-088,Misericórdia,travessa cara,travessa da cara,done,2014,11,27.0,"travessa da cara, 27",38.7139636,-9.1450755
24141/AL,2016-02-02,Lisbo Art´s,Apartamento,1.0,2,"Travessa Rosário, 28",1250-197,Santo António,travessa rosário,travessa do rosário,done,2016,2,28.0,"travessa do rosário, 28",38.7174659,-9.146901
24142/AL,2016-02-02,Lisbon Bottled Vintage,Apartamento,3.0,6,"Rua Sol ao Rato, 49",1250-262,Campo de Ourique,rua sol ao rato,rua do sol ao rato,done,2016,2,49.0,"rua do sol ao rato, 49",38.7197775,-9.159822
24149/AL,2016-02-02,Lisbon Details,Apartamento,2.0,3,"Travessa Condessa Rio, 3",1200-123,Misericórdia,travessa condessa rio,travessa da condessa do rio,done,2016,2,3.0,"travessa da condessa do rio, 3",38.7102878,-9.1484974
2416/AL,2014-12-31,Downtown Cosy apartment im Lisbon,Apartamento,3.0,4,"Rua Bernardim Ribeiro, 87",1150-070,Santo António,rua bernardim ribeiro,rua bernardim ribeiro,done,2014,12,87.0,"rua bernardim ribeiro, 87",38.7252226,-9.1446682
24174/AL,2014-11-13,Pensão Residencial Estoril,Estabelecimento de hospedagem,28.0,32,"Avenida João XXI, 6",1000-301,Areeiro,avenida joão xxi,avenida joão xxi,done,2014,11,6.0,"avenida joão xxi, 6",38.7424709,-9.1347194
24199/AL,2016-02-03,FS Boutique Studios apart r/c esq,Apartamento,1.0,2,"Calçada Lavra, 18",1150-209,Arroios,calçada lavra,calçada do lavra,done,2016,2,18.0,"calçada do lavra, 18",38.7180155,-9.140879
24202/AL,2016-02-03,FS Lisbon Apartments 1 apart,Apartamento,1.0,2,"Calçada Lavra, 18",1150-209,Arroios,calçada lavra,calçada do lavra,done,2016,2,18.0,"calçada do lavra, 18",38.7180155,-9.140879
24204/AL,2016-02-03,FS Boutique Studios apart. r/c dto,Apartamento,1.0,2,"Calçada Lavra, 18",1150-209,Arroios,calçada lavra,calçada do lavra,done,2016,2,18.0,"calçada do lavra, 18",38.7180155,-9.140879
24206/AL,2016-02-03,FS Boutique Studios apart 2º esq,Apartamento,1.0,2,"Calçada Lavra, 18",1150-209,Arroios,calçada lavra,calçada do lavra,done,2016,2,18.0,"calçada do lavra, 18",38.7180155,-9.140879
24216/AL,2016-02-03,CONCHA LDA,Apartamento,7.0,8,"Rua de São Bento, 297",1250-220,Campo de Ourique,rua de são bento,rua de são bento,done,2016,2,297.0,"rua de são bento, 297",38.7172727,-9.1552671
24221/AL,2013-05-30,Apartamento Estevão,Apartamento,2.0,4,"Rua José Estêvão, 23",1150-200,Arroios,rua josé estêvão,rua josé estêvão,done,2013,5,23.0,"rua josé estêvão, 23",38.7283199,-9.1377058
24227/AL,2010-09-21,Residêncial Londrina,Estabelecimento de hospedagem,21.0,24,"Rua Castilho, 61",1250-068,Santo António,rua castilho,rua castilho,done,2010,9,61.0,"rua castilho, 61",38.7238195,-9.1527412
24230/AL,2009-05-06,Days and Weeks Baixa 3,Apartamento,4.0,6,"Rua Correeiros, 60",1100-167,Santa Maria Maior,rua correeiros,rua dos correeiros,done,2009,5,60.0,"rua dos correeiros, 60",38.7105797,-9.1371623
24239/AL,2016-02-04,Home Lisbon 3,Apartamento,2.0,3,"Travessa Pé de Ferro, 1",1200-761,Estrela,travessa pé de ferro,travessa do pédeferro,manual,2016,2,1.0,"travessa do pédeferro, 1",38.7090476,-9.1561449
24254/AL,2016-02-04,"Santa Catarina, 3",Apartamento,4.0,7,"Travessa de Santa Catarina, 3",1200-403,Misericórdia,travessa de santa catarina,travessa de santa catarina,done,2016,2,3.0,"travessa de santa catarina, 3",38.71015432308358,-9.147577499123877
24257/AL,2016-02-04,Coliseu Apartments,Apartamento,4.0,6,"Beco São Luís da Pena, 28",1150-336,Arroios,beco são luís da pena,beco de são luís da pena,done,2016,2,28.0,"beco de são luís da pena, 28",38.7163469,-9.1397229
24258/AL,2016-02-04,Apartamento Glória,Apartamento,4.0,8,"Rua Glória, 68",1250-117,Santo António,rua glória,rua da glória,done,2016,2,68.0,"rua da glória, 68",38.7172167,-9.1446937
24263/AL,2016-02-05,Casa do Jardim,Apartamento,2.0,4,"Rua Quintinha, 22",1200-367,Misericórdia,rua quintinha,rua da quintinha,done,2016,2,22.0,"rua da quintinha, 22",38.7127098,-9.1520258
24269/AL,2016-02-05,Chalet 1,Apartamento,2.0,4,"Rua Prazeres, 49",1200-355,Misericórdia,rua prazeres,rua dos prazeres,done,2016,2,49.0,"rua dos prazeres, 49",38.7152798,-9.1531188
24290/AL,2016-02-05,Santos Charming Apartment,Apartamento,4.0,5,"Rua Boavista, 76",1200-068,Misericórdia,rua boavista,rua da boavista,done,2016,2,76.0,"rua da boavista, 76",38.7088394,-9.1487949
24293/AL,2014-11-18,Jorge Costa,Apartamento,5.0,7,"Beco Salvador, 58",1100-461,São Vicente,beco salvador,beco do salvador,done,2014,11,58.0,"beco do salvador, 58",38.7134315,-9.1300484
24295/AL,2016-02-05,FS Lisbon Apartments - Apart R/C,Apartamento,1.0,2,"Calçada Lavra, 18",1150-209,Arroios,calçada lavra,calçada do lavra,done,2016,2,18.0,"calçada do lavra, 18",38.7180155,-9.140879
24297/AL,2016-02-05,Fs Lisbon Apartments - Apart 3º andar,Apartamento,1.0,2,"Calçada Lavra, 18",1150-209,Arroios,calçada lavra,calçada do lavra,done,2016,2,18.0,"calçada do lavra, 18",38.7180155,-9.140879
24298/AL,2016-02-05,Chiado 04,Apartamento,5.0,6,"Rua Carmo, 97",1200-093,Santa Maria Maior,rua carmo,rua do carmo,done,2016,2,97.0,"rua do carmo, 97",38.71262309999999,-9.1397349
24299/AL,2016-02-05,Fs Lisbon Apartments - Apart 2º andar,Apartamento,1.0,2,"Calçada Lavra, 118",1150-209,Arroios,calçada lavra,calçada do lavra,done,2016,2,118.0,"calçada do lavra, 118",38.71839320000001,-9.1406202
2430/AL,2014-12-31,Oliveirinha,Apartamento,8.0,12,"Rua Oliveirinha, 30-32",1100-384,São Vicente,rua oliveirinha,rua da oliveirinha,done,2014,12,32.0,"rua da oliveirinha, 32",38.713337,-9.1292711
24300/AL,2016-02-05,Fs Boutique Studios - Apart 3º Esq,Apartamento,1.0,2,"Calçada Lavra, 18",1150-209,Arroios,calçada lavra,calçada do lavra,done,2016,2,18.0,"calçada do lavra, 18",38.7180155,-9.140879
24302/AL,2016-02-05,Fs Boutique Studios - Apart 3º Dto,Apartamento,1.0,2,"Calçada Lavra, 18",1150-209,Arroios,calçada lavra,calçada do lavra,done,2016,2,18.0,"calçada do lavra, 18",38.7180155,-9.140879
24303/AL,2016-02-05,Fs Boutique Studios - Apart 2º Dto,Apartamento,1.0,2,"Calçada Lavra, 18",1150-209,Arroios,calçada lavra,calçada do lavra,done,2016,2,18.0,"calçada do lavra, 18",38.7180155,-9.140879
24305/AL,2016-02-07,Z Apolónia III,Apartamento,3.0,4,"Calçada Cardeal, 9",1100-115,São Vicente,calçada cardeal,calçada do cardeal,done,2016,2,9.0,"calçada do cardeal, 9",38.7152075,-9.1221171
24307/AL,2016-02-08,Baixa 05,Apartamento,3.0,4,"Rua Correeiros, 28",1100-166,Santa Maria Maior,rua correeiros,rua dos correeiros,done,2016,2,28.0,"rua dos correeiros, 28",38.7100881,-9.1368947
24308/AL,2016-02-08,Bairro Alto 08,Apartamento,4.0,5,"Rua Diário de Notícias, 41",1200-141,Misericórdia,rua diário de notícias,rua do diário de notícias,done,2016,2,41.0,"rua do diário de notícias, 41",38.7116957,-9.144167
24311/AL,2016-02-08,Rua Nogueira e Sousa,Apartamento,2.0,4,"Rua Nogueira e Sousa, 6",1150-237,Santo António,rua nogueira e sousa,rua nogueira e sousa,done,2016,2,6.0,"rua nogueira e sousa, 6",38.7236433,-9.1433046
24314/AL,2016-02-08,Rua dos Fanqueiros,Apartamento,4.0,8,"Rua Fanqueiros, 196",1100-227,Santa Maria Maior,rua fanqueiros,rua dos fanqueiros,done,2016,2,196.0,"rua dos fanqueiros, 196",38.7116656,-9.1362544
24325/AL,2016-02-08,Lovely Studio - Heart Of Lisbon,Apartamento,1.0,2,"Rua  Santo António da Glória, 70",1250-217,Santo António,rua  santo antónio da glória,rua de santo antónio da glória,done,2016,2,70.0,"rua de santo antónio da glória, 70",38.7170573,-9.1453037
24326/AL,2016-02-08,GSPOT HOSTEL LISBON,Estabelecimento de hospedagem-Hostel,89.0,89,"Travessa Fala-Só, 24",1250-109,Santo António,travessa fala-só,travessa do falasó,manual,2016,2,24.0,"travessa do falasó, 24",38.7162763,-9.1440153
24352/AL,2016-02-08,Lisbon Sun Terrace Graça I,Apartamento,3.0,5,"Travessa Olival à Graça, 63",1170-279,São Vicente,travessa olival à graça,travessa do olival à graça,done,2016,2,63.0,"travessa do olival à graça, 63",38.7196352,-9.1247441
24354/AL,2016-02-08,Lisbon Sun Terrace Graça I,Apartamento,3.0,5,"Travessa Olival à Graça, 63",1170-279,São Vicente,travessa olival à graça,travessa do olival à graça,done,2016,2,63.0,"travessa do olival à graça, 63",38.7196352,-9.1247441
24371/AL,2016-02-10,Casa Newton,Moradia,3.0,3,"Rua Newton, 6",1170-276,Arroios,rua newton,rua newton,done,2016,2,6.0,"rua newton, 6",38.72803390000001,-9.1335798
24388/AL,2016-02-10,Apartamento Av 5 Outubro - Centro,Apartamento,1.0,2,Avenida 5,1600-035,Avenidas Novas,avenida,avenida cinco de outubro,manual,2016,2,5.0,"avenida cinco de outubro, 5",38.7331842,-9.1470631
24390/AL,2016-02-10,Apartment Close to the Castle,Apartamento,5.0,7,Rua  Costa do Castelo,1100-176,Santa Maria Maior,rua  costa do castelo,costa do castelo,done,2016,2,,costa do castelo,38.7133538,-9.1346882
24394/AL,2016-02-10,ALMA MOURA - ALFAMA,Apartamento,2.0,4,"Calçadinha Tijolo, 43",1100-606,Santa Maria Maior,calçadinha tijolo,calçadinha do tijolo,done,2016,2,43.0,"calçadinha do tijolo, 43",38.713284,-9.1285589
24399/AL,2016-02-10,ALMA MOURA - MOURARIA,Apartamento,3.0,3,"Calçadinha Tijolo, 43",1100-606,Santa Maria Maior,calçadinha tijolo,calçadinha do tijolo,done,2016,2,43.0,"calçadinha do tijolo, 43",38.713284,-9.1285589
24403/AL,2016-02-10,ALMA MOURA - CASTELO,Apartamento,3.0,4,"Calçadinha Tijolo, 43",1100-606,Santa Maria Maior,calçadinha tijolo,calçadinha do tijolo,done,2016,2,43.0,"calçadinha do tijolo, 43",38.713284,-9.1285589
24405/AL,2016-02-10,ALMA MOURA - AMALIA,Apartamento,3.0,4,"Calçadinha Tijolo, 43",1100-606,Santa Maria Maior,calçadinha tijolo,calçadinha do tijolo,done,2016,2,43.0,"calçadinha do tijolo, 43",38.713284,-9.1285589
24406/AL,2016-02-10,ALMA MOURA - GRAÇA,Apartamento,4.0,6,"Calçadinha Tijolo, 43",1100-606,Santa Maria Maior,calçadinha tijolo,calçadinha do tijolo,done,2016,2,43.0,"calçadinha do tijolo, 43",38.713284,-9.1285589
24407/AL,2016-02-10,Casa do Carmo,Estabelecimento de hospedagem,2.0,4,"Rua Oliveira ao Carmo, 71",1200-308,Santa Maria Maior,rua oliveira ao carmo,rua da oliveira ao carmo,done,2016,2,71.0,"rua da oliveira ao carmo, 71",38.7130925,-9.1422585
24408/AL,2016-02-10,Travessa do Cabral Alojamento,Apartamento,6.0,6,"Travessa Cabral, 18-24",1200-075,Misericórdia,travessa cabral,travessa do cabral,done,2016,2,24.0,"travessa do cabral, 24",38.7094371,-9.146026
2443/AL,2014-12-31,Andorinha,Apartamento,4.0,6,"Rua Penha de França, 33",1170-303,Penha de França,rua penha de frança,rua da penha de frança,done,2014,12,33.0,"rua da penha de frança, 33",38.722152,-9.129395
24455/AL,2016-02-11,Bairro Alto With a View,Apartamento,2.0,3,"Rua Rosa, 194",1200-384,Misericórdia,rua rosa,rua da rosa,done,2016,2,194.0,"rua da rosa, 194",38.7142125,-9.1457009
24457/AL,2016-02-11,A Window to Lisboa in Bairro Alto III,Apartamento,2.0,4,"Travessa Queimada, 11",1200-364,Misericórdia,travessa queimada,travessa da queimada,done,2016,2,11.0,"travessa da queimada, 11",38.7129645,-9.143969
24464/AL,2016-02-11,Residências do Martim Moniz,Apartamento,5.0,6,"Rua Arco da Graça, 28",1150-051,Santa Maria Maior,rua arco da graça,rua do arco da graça,done,2016,2,28.0,"rua do arco da graça, 28",38.7165345,-9.1370624
24471/AL,2016-02-12,Apartamento do Principezinho 3,Apartamento,1.0,2,"Rua Noronha, 13",1250-168,Santo António,rua noronha,rua do noronha,done,2016,2,13.0,"rua do noronha, 13",38.7178015,-9.152905
24475/AL,2016-02-12,Apartamento do Principezinho 2,Apartamento,1.0,2,"Rua Noronha, 13",1250-168,Santo António,rua noronha,rua do noronha,done,2016,2,13.0,"rua do noronha, 13",38.7178015,-9.152905
24476/AL,2016-02-12,Apartamento do Principezinho 1,Apartamento,1.0,2,"Travessa Noronha, 6",1250-171,Santo António,travessa noronha,travessa do noronha,done,2016,2,6.0,"travessa do noronha, 6",38.7177191,-9.1528739
24478/AL,2016-02-12,Baixa Deluxe I,Apartamento,2.0,4,"Rua Madalena, 66",1100-317,Santa Maria Maior,rua madalena,rua da madalena,done,2016,2,66.0,"rua da madalena, 66",38.7098489,-9.1349476
24480/AL,2016-02-12,LISBON ANGELS HOSTEL,Estabelecimento de hospedagem-Hostel,15.0,26,"Avenida Reis, 40A 3º esq/dto",1150-019,Arroios,avenida reis,avenida almirante reis,done,2016,2,3.0,"avenida almirante reis, 3",38.7207717,-9.1356368
24481/AL,2016-02-12,Cosy São Bento,Apartamento,2.0,3,"Rua Bento, 306",1200-821,Misericórdia,rua bento,rua dos poiais de são bento,done,2016,2,306.0,"rua dos poiais de são bento, 306",38.7108037,-9.1512109
24487/AL,2016-02-12,Sete Colinas,Apartamento,2.0,4,"Calçada Santana, 207",1150-303,Arroios,calçada santana,calçada de santana,done,2016,2,207.0,"calçada de santana, 207",38.7181722,-9.1393974
2449/AL,2013-02-22,Remédios 5,Apartamento,2.0,4,"Rua Remédios, 30",1100-440,Santa Maria Maior,rua remédios,rua dos remédios,done,2013,2,30.0,"rua dos remédios, 30",38.711785,-9.1273593
24491/AL,2016-02-12,Flor da Murta,Apartamento,1.0,2,"Rua Poço dos Negros, 150",1200-342,Misericórdia,rua poço dos negros,rua do poço dos negros,done,2016,2,150.0,"rua do poço dos negros, 150",38.7098192,-9.1521932
24494/AL,2016-02-12,Janelas Verdes,Apartamento,3.0,4,"Rua Santos-o-Velho, 78",1200-813,Estrela,rua santos-o-velho,rua de santosovelho,manual,2016,2,78.0,"rua de santosovelho, 78",38.7069957,-9.1577091
24497/AL,2016-02-12,Lis.Boa serendipity Ferreiros,Apartamento,3.0,4,"Rua Ferreiros A Santa Catarina, 16",1200-186,Misericórdia,rua ferreiros a santa catarina,rua dos ferreiros a santa catarina,done,2016,2,16.0,"rua dos ferreiros a santa catarina, 16",38.7100145,-9.1490097
24502/AL,2016-02-12,São Bento Apartment #3,Apartamento,4.0,5,"Rua São bento , 156",1200-821,Misericórdia,rua são bento,rua dos poiais de são bento,done,2016,2,156.0,"rua dos poiais de são bento, 156",38.7112197,-9.1525621
24519/AL,2016-02-12,São Jorge Apartments,Apartamento,1.0,2,"Rua Terreirinho, 62",1100-599,Santa Maria Maior,rua terreirinho,rua do terreirinho,done,2016,2,62.0,"rua do terreirinho, 62",38.7170557,-9.1344612
24520/AL,2016-02-12,"Canto do 28, Typical Apartments",Apartamento,2.0,4,"Rua Escolas Gerais, 56",1100-220,Santa Maria Maior,rua escolas gerais,rua das escolas gerais,done,2016,2,56.0,"rua das escolas gerais, 56",38.712992,-9.1284466
24522/AL,2016-02-12,"Cozy Studio, Typical Apartments",Apartamento,1.0,2,"Rua Judiaria, 4",1100-296,Santa Maria Maior,rua judiaria,rua da judiaria,done,2016,2,4.0,"rua da judiaria, 4",38.71036811339147,-9.12941201535807
24523/AL,2016-02-12,"Secret Garden, Typical Apartments",Apartamento,5.0,8,"Rua Mirante, 55",1100-355,São Vicente,rua mirante,rua do mirante,done,2016,2,55.0,"rua do mirante, 55",38.7173018,-9.1217988
24527/AL,2016-02-15,Majava,Apartamento,2.0,4,"Travessa Rosário, 35",1100-458,São Vicente,travessa rosário,travessa do rosário de santa clara,done,2016,2,35.0,"travessa do rosário de santa clara, 35",38.7165724,-9.1258005
24529/AL,2016-02-12,Apartamento do Carmo 2,Apartamento,3.0,5,"Rua Duque, 4",1200-159,Santa Maria Maior,rua duque,rua do duque,done,2016,2,4.0,"rua do duque, 4",38.7128355,-9.1410303
24534/AL,2016-02-15,Casa dos Anjos,Apartamento,5.0,7,"Rua Macau, 6",1170-202,Arroios,rua macau,rua de macau,done,2016,2,6.0,"rua de macau, 6",38.7244458,-9.1321772
24535/AL,2016-02-15,Lisbon Sun Terrace Graça III,Apartamento,3.0,5,"Travessa Olival à Graça, 63",1170-279,São Vicente,travessa olival à graça,travessa do olival à graça,done,2016,2,63.0,"travessa do olival à graça, 63",38.7196352,-9.1247441
24536/AL,2016-02-15,Lisbon Sun Terrace Graça IV,Apartamento,4.0,5,"Travessa Olival à Graça, 63",1170-279,São Vicente,travessa olival à graça,travessa do olival à graça,done,2016,2,63.0,"travessa do olival à graça, 63",38.7196352,-9.1247441
2454/AL,2014-11-25,"Largo do Rato 3, 2º Dt",Apartamento,3.0,5,"Largo Rato, 3",1250-186,Santo António,largo rato,largo do rato,done,2014,11,3.0,"largo do rato, 3",38.7204759,-9.154439
24543/AL,2016-02-15,Sandra Guerreiro,Apartamento,6.0,6,"Rua Galé, 20",1100-263,Santa Maria Maior,rua galé,rua da galé,done,2016,2,20.0,"rua da galé, 20",38.7107803,-9.1295933
24553/AL,2014-05-30,"Portuguese Soul, Lda",Apartamento,10.0,13,"Avenida Ávila, 129-131",1050-082,Avenidas Novas,avenida ávila,avenida duque dávila,manual,2014,5,131.0,"avenida duque dávila, 131",38.7349227,-9.1460737
2458/AL,2012-11-06,Madalena Hermitage,Apartamento,3.0,4,"Rua Madalena, 29",1100-318,Santa Maria Maior,rua madalena,rua da madalena,done,2012,11,29.0,"rua da madalena, 29",38.7090944,-9.1349333
24585/AL,2016-02-16,AMD HOLIDAY,Apartamento,3.0,5,"Travessa Alcaide, 17",1200-013,Misericórdia,travessa alcaide,travessa do alcaide,done,2016,2,17.0,"travessa do alcaide, 17",38.7104283,-9.1491956
2460/AL,2012-11-06,Madalena Hermitage,Apartamento,3.0,4,"Rua Madalena, 29",1100-318,Santa Maria Maior,rua madalena,rua da madalena,done,2012,11,29.0,"rua da madalena, 29",38.7090944,-9.1349333
24600/AL,2016-02-16,São Julião 72 Apt - 5D,Apartamento,3.0,8,"Rua Julião, 72",1100-526,Santa Maria Maior,rua julião,rua de são julião,done,2016,2,72.0,"rua de são julião, 72",38.7095394,-9.1360761
24601/AL,2016-02-16,TWIN APARTMENT 2,Apartamento,2.0,3,"Rua Vicente Borga, 55",1200-862,Estrela,rua vicente borga,rua vicente borga,done,2016,2,55.0,"rua vicente borga, 55",38.7088184,-9.1552652
24602/AL,2016-02-16,TWIN APARTMENT 1,Apartamento,2.0,3,"Rua Vicente Borga, 55",1200-862,Estrela,rua vicente borga,rua vicente borga,done,2016,2,55.0,"rua vicente borga, 55",38.7088184,-9.1552652
24618/AL,2016-02-16,Oliven*a,Estabelecimento de hospedagem,2.0,4,"Rua Grémio Lusitano, 22",1200-212,Misericórdia,rua grémio lusitano,rua do grémio lusitano,done,2016,2,22.0,"rua do grémio lusitano, 22",38.7134185,-9.1442385
